method,time,MX,FI91601,FA,L2,LIMS_S905_Water,LIMS_S907_Water,LIMS_S708_Br_Index,LIMS_S708_A9,LIMS_S708_A10,LIMS_S708_Water,LIMS_S708_Sulfur,LIMS_s919_A9,LIMS_s919_A10
Linear,-28.943063582092243,9.0,562.0,0.477,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.718654318715824,9.0,562.0,0.477,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.49424505533941,9.0,562.0,0.477,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.397570984152757,9.0,562.0,0.478,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.173161720776342,9.0,562.0,0.478,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.948752457399923,9.0,562.0,0.478,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.724343194023504,9.0,562.0,0.478,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.49993393064709,9.0,562.0,0.478,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.27552466727067,9.0,562.0,0.478,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.05111540389425,9.0,562.0,0.478,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.82670614051783,9.0,562.0,0.478,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.602296877141416,9.0,562.0,0.478,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.377887613764997,9.0,562.0,0.478,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.15347835038858,9.0,562.0,0.478,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.056804279201817,9.0,562.0,0.479,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.832395015825398,9.0,562.0,0.479,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.607985752448982,9.0,562.0,0.479,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.383576489072563,9.0,562.0,0.479,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.159167225696144,9.0,562.0,0.479,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.934757962319726,9.0,562.0,0.479,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.71034869894331,9.0,562.0,0.479,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.48593943556689,9.0,562.0,0.479,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.261530172190472,9.0,562.0,0.479,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.037120908814057,9.0,562.0,0.479,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-27.812711645437638,9.0,562.0,0.479,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.71603757425099,9.0,562.0,0.48,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.49162831087457,9.0,562.0,0.48,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.267219047498152,9.0,562.0,0.48,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.042809784121733,9.0,562.0,0.48,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.818400520745318,9.0,562.0,0.48,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.5939912573689,9.0,562.0,0.48,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.36958199399248,9.0,562.0,0.48,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.145172730616064,9.0,562.0,0.48,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-27.920763467239645,9.0,562.0,0.48,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-27.696354203863226,9.0,562.0,0.48,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-27.471944940486807,9.0,562.0,0.48,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.47,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.47,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.47,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.47,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.47,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.47,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.47,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.47,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.47,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.47,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.47,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.471,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.471,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.471,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.471,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.471,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.471,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.471,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.471,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.471,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.471,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.471,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.472,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.472,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.472,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.472,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.472,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.472,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.472,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.472,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.472,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.472,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.472,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.473,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.473,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.473,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.473,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.473,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.473,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.473,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.473,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.473,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.473,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.473,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.474,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.474,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.474,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.474,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.474,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.474,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.474,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.474,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.474,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.474,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.474,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.475,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.475,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.475,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.475,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.475,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.475,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.475,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.475,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.475,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.475,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.475,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.476,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.476,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.476,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.476,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.476,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.476,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.476,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.476,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.476,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.476,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.476,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.477,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.477,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.477,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.477,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.477,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.477,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.477,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.477,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.477,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.477,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.477,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.478,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.478,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.478,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.478,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.478,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.478,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.478,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.478,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.478,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.478,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.478,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.479,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.479,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.479,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.479,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.479,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.479,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.479,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.479,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.479,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.479,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.479,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.48,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.48,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.48,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.48,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.48,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.48,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.48,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.48,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.48,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.48,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.71,9.0,563.0,0.48,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.47,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.47,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.47,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.47,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.47,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.47,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.47,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.47,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.47,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.47,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.47,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.471,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.471,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.471,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.471,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.471,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.471,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.471,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.471,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.471,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.471,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.471,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.472,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.472,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.472,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.472,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.472,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.472,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.472,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.472,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.472,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.472,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.472,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.473,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.473,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.473,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.473,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.473,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.473,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.473,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.473,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.473,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.473,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.473,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.474,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.474,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.474,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.474,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.474,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.474,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.474,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.474,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.474,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.474,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.474,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.475,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.475,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.475,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.475,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.475,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.475,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.475,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.475,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Lasso,13.7,9.0,562.0,0.475,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
